"category_id","name","url_name","description","meta_description","meta_keywords","auto_category_term","num_videos","last_video_id","image_id"
2055,"Stand Up (Gi) - Zone 1 - Sleeve Control - Cross Sleeve - Offensive - Take Downs","stand-up-gi-zone-1-sleeve-control-cross-sleeve-offensive-take-downs","","","","",1,2013,0
2056,"Stand Up (Gi) - Zone 1 - Lapel Grip - Sleeve - Offensive - Take Downs","stand-up-gi-zone-1-lapel-grip-sleeve-offensive-take-downs","","","","",6,2013,0
2057,"Stand Up (Gi) - Zone 1 - Lapel Grip - Single Lapel - Defensive - Take Downs","stand-up-gi-zone-1-lapel-grip-single-lapel-defensive-take-downs","","","","",14,2013,0
2058,"Stand Up (Gi) - Zone 1 - Lapel Grip - Single Lapel - Offensive - Take Downs","stand-up-gi-zone-1-lapel-grip-single-lapel-offensive-take-downs","","","","",18,2013,0
2059,"Stand Up (No Gi) - Zone 1 - Miscellaneous - Over Under - Offensive - Take Downs","stand-up-no-gi-zone-1-miscellaneous-over-under-offensive-take-downs","","","","",24,2013,0
2060,"Stand Up (Gi) - Zone 1 - Sleeve Control - Same Side Sleeve - Offensive - Take Downs","stand-up-gi-zone-1-sleeve-control-same-side-sleeve-offensive-take-downs","","","","",5,2013,0
2061,"Stand Up (No Gi) - Zone 1 - Collar Tie - Single - Defensive - Take Downs","stand-up-no-gi-zone-1-collar-tie-single-defensive-take-downs","","","","",7,2013,0
2062,"Stand Up (No Gi) - Zone 1 - Collar Tie - Single - Offensive - Take Downs","stand-up-no-gi-zone-1-collar-tie-single-offensive-take-downs","","","","",2,2014,0
2065,"Stand Up (Gi) - Zone 1 - Lapel Grip - Sleeve - Offensive - Trips","stand-up-gi-zone-1-lapel-grip-sleeve-offensive-trips","","","","",3,2013,0
2067,"Stand Up (Gi) - Zone 1 - Sleeve Control - Tricep - Offensive - Take Downs","stand-up-gi-zone-1-sleeve-control-tricep-offensive-take-downs","","","","",2,2013,0
2068,"Stand Up (Gi) - Zone 2 - Russian - Belt Grip - Offensive - Take Downs","stand-up-gi-zone-2-russian-belt-grip-offensive-take-downs","","","","",5,2013,0
2069,"Stand Up (Gi) - Zone 1 - Belt Grip - Sleeve and Belt (Flipped Grip) - Offensive - Take Downs","stand-up-gi-zone-1-belt-grip-sleeve-and-belt-flipped-grip-offensive-take-downs","","","","",1,2014,0
2074,"Stand Up (Gi) - Zone 2 - Russian - Belt Grip - Defensive - Take Downs","stand-up-gi-zone-2-russian-belt-grip-defensive-take-downs","","","","",1,2014,0
2075,"Stand Up (No Gi) - Zone 3 - Back - Waist Grip - Defensive - Take Downs","stand-up-no-gi-zone-3-back-waist-grip-defensive-take-downs","","","","",2,2014,0
2078,"Stand Up (No Gi) - Zone 3 - Back - Waist Grip - Offensive - Submissions","stand-up-no-gi-zone-3-back-waist-grip-offensive-submissions","","","","",6,2013,0
2079,"Stand Up (Gi) - Zone 1 - Lapel Grip - Sleeve - Defensive - Guard Pull Counters","stand-up-gi-zone-1-lapel-grip-sleeve-defensive-guard-pull-counters","","","","",3,2013,0
2080,"Stand Up (Gi) - Zone 1 - Lapel Grip - 50 50 - Defensive - Guard Pull Counters","stand-up-gi-zone-1-lapel-grip-50-50-defensive-guard-pull-counters","","","","",3,2013,0
2081,"Stand Up (Gi) - Zone 1 - Lapel Grip - Sleeve - Offensive - Guard Pull Counters","stand-up-gi-zone-1-lapel-grip-sleeve-offensive-guard-pull-counters","","","","",2,2013,0
2082,"Stand Up (Gi) - Zone 1 - Belt Grip - Sleeve and Belt - Offensive - Guard Pulls","stand-up-gi-zone-1-belt-grip-sleeve-and-belt-offensive-guard-pulls","","","","",1,2015,0
2085,"Stand Up (Gi) - Zone 1 - Lapel Grip - Single Lapel - Defensive - Back Takes","stand-up-gi-zone-1-lapel-grip-single-lapel-defensive-back-takes","","","","",1,2013,0
2086,"Stand Up (No Gi) - Zone 2 - Russian - Normal - Offensive - Back Takes","stand-up-no-gi-zone-2-russian-normal-offensive-back-takes","","","","",2,2013,0
